,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
1447,Headfone,2017,Bangalore,Media and Entertainment,Headfone helps create and share the audio content with listeners.,Hashed,3000000.0,Seed,2021
1448,Zouk,2016,Mumbai,Beauty and Fashion,100% Vegan bags from India.,Titan Capital,3000000.0,Seed,2021
1449,MPL,2018,Bangalore,Manufacturing,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games., Base Partners,5000000.0,Venture - Series Unknown,2021
1450,GrowFix,2020,Bangalore,Technology,Building high-yield Debt assets for retail investors, Better Capital,2000000.0,Seed,2021
1451,Bombay Shaving Company,2016,New Delhi,Beauty and Fashion,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.", Colgate Palmolive,6000000.0,Venture - Series Unknown,2021
1452,Dunzo,2015,Bangalore,Delivery,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner., Evolvence India Fund,40000000.0,Series E,2021
1453,BeyondSkool,2020,Mumbai,Education,BeyondSkool is a live upskilling platform for kids,Tomorrow Capital,2000000.0,Seed,2021
1454,Mindler,2015,New Delhi,Education,Mindler is a career counseling company that provides career development guidance counseling services for students., DLabs,1000000.0,Pre-series A,2021
1455,Fashinza,2020,Gurgaon,Commerce,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges., Elevation Capital,2600000.0,Seed,2021
1456,BharatPe,2018,New Delhi,Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses., Steadview Capital,6000000.0,Debt,2021
1457,Turnip,2020,Bangalore,Manufacturing,Turnip is a live game streaming and community platform.,Elevation Capital,1600000.0,Seed,2021
1458,Furlenco,2012,Bangalore,Real Estate,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,BlackSoil Capital,2000000.0,Venture - Series Unknown,2021
1459,Inficold,2015,New Delhi,Energy,Provide uninterrupted and affordable cooling for refrigeration,Shell Foundation,900000.0,Pre-series A,2021
1460,KIWI,2020,New Delhi,Taas,"A peer to peer support network, which would enable billions of users across the world", Core91 VC,250000.0,Seed,2021
1461,Digit Insurance,2016,Bangalore,Technology,Digit Insurance is a financial services company that general insurance services., Faering Capital,3000000.0,Venture - Series Unknown,2021
1462,BharatPe,2018,New Delhi,Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses., Steadview Capital,10000000.0,Debt,2021
1463,MFine,2017,Bangalore,Health,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app., SBI Ven Capital,16000000.0,Venture - Series Unknown,2021
1464,Udayy,2019,Gurgaon,Education,Interactive learning platform for kids,Alpha Wave incubation,2500000.0,Seed,2021
1465,Lohum,2017,Noida,Technology,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling., Talbros,7000000.0,Venture - Series Unknown,2021
1466,Darwinbox,2015,Hyderabad,Business Intelligence,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform., 3one4 Capital,15000000.0,Venture - Series Unknown,2021
1467,DeHaat,2012,Patna,Agriculture,DeHaat connects farmers to suppliers and buyers on a single platform., RTP Global,30000000.0,Series C,2021
1468,Samunnati,2014,Chennai,Agriculture,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions., responsAbility,10000000.0,Debt,2021
1469,Biconomy,2019,New Delhi,Finance,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications., Zee Prime Capital,1500000.0,Seed,2021
1470,True Elements,2011,Pune,Food & Beverage,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!",RP-Sanjiv Goenka Group,1000000.0,Venture - Series Unknown,2021
1471,Siply,2020,Bangalore,Technology,Siply Services operates as a micro-savings platform.,Inflection Point Ventures,1000000.0,Seed,2021
1472,Nao Spirits & Beverages Pvt Ltd,2016,New Delhi,Food & Beverage,India's first Craft Gin company,Coatue Management,2000000.0,Series A,2021
1473,PurpleTutor,2019,Mumbai,Education,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,IvyCap Ventures,300000.0,Seed,2021
1474,Karkhana.io,2018,Mumbai,Manufacturing,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Zone Startups In,1500000.0,Seed,2021
1475,SSA Finserv,2019,Mumbai,Technology,Small businesses-focused non-banking lender,Blue Ashva Capital,3000000.0,Venture - Series Unknown,2021
1476,CoinSwitch Kuber,2017,Bangalore,Finance,Coinswitch.co is a cryptocurrency exchange aggregator platform., Kunal Shah,15000000.0,Series A,2021
1477,Paperfly,2016,Bangalore,Commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,Ecom Express,11000000.0,Venture - Series Unknown,2021
1478,Infra.Market,2016,Thane,Commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,Innoven Capital,6000000.0,Debt,2021
1479,ReadyAssist,2018,Bangalore,Transport,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Satish Grampurohit,1000000.0,Seed,2021
1480,Chalo,2014,Mumbai,Technology,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop., Raine Ventures,7000000.0,Venture - Series Unknown,2021
1481,Udaan,2016,Bangalore,Commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform", Moonstone Capital,280000000.0,Venture - Series Unknown,2021
1482,Unacademy,2015,Bangalore,Education,Unacademy is an online learning platform providing educational content such as video lectures and examinations., General Atlantic,50000000.0,Venture - Series Unknown,2021
1483,Ergos,2012,Samsitpur,Agriculture,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets., Aavishkaar Venture Capital,3000000.0,Series A,2021
1484,Bolkar,2018,Bangalore,Social,Bolkar App is an Audio Based Q&A platform for the Next Billion Users., Pras Hanuma,3000000.0,Venture - Series Unknown,2021
1485,Wright Research,2019,Mumbai,Business Intelligence,Quantitative Investment Management and Research, Piyush Chaplot,3000000.0,Pre-seed,2021
1486,Knocksense,2016,Lucknow,Media and Entertainment,Knocksense which owns and operates an eponymous digital content platform., Amitesh Pandey,200000.0,Venture - Series Unknown,2021
1487,Pariksha,2015,Pune,Education,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India", 9Unicorns Accelerator Fund,1800000.0,Venture - Series Unknown,2021
1488,Toothsi,2018,Mumbai,Technology,ToothSi is a new age startup in the dental space providing smile correction services at home.,Think Investments,5000000.0,Series A,2021
1489,Jumbotail,2015,Bangalore,Food & Beverage,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.", 23 High Networth Individuals (HNIs),14300000.0,Series B3,2021
1490,Phi Commerce,2015,Pune,Technology,"Payments Facilitator, Payments solution provider etc.", BEENEXT,4000000.0,Series A,2021
1491,Zupee,2018,Gurgaon,Manufacturing,Zupee is a skill-based gaming app that enables its users to play against each-other live, Matrix Partners India,10000000.0,Venture - Series Unknown,2021
1492,Oneiric Gaming,2020,Chandigarh,Manufacturing,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,Trishneet Arora,3000000.0,Venture - Series Unknown,2021
1493,Finsall,2019,Bangalore,Finance,Finsall provides Insurance Premium Financing,Unicorn India Ventures,300000.0,Seed,2021
1494,Legalwiz.in,2015,Ahmedabad,Others,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.",ContCentric,500000.0,Venture - Series Unknown,2021
1495,Practically,2018,Telangana,Education,"Making Learning personal, immersive and experiental",Siana Capital,4000000.0,Pre-series B,2021
1496,CRED,2018,Bangalore,Technology,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills., General Catalyst,81000000.0,Series C,2021
1497,Devic Earth,2018,Bangalore,Government,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Blue Ashva Capital,1000000.0,Venture - Series Unknown,2021
1498,Zerone,2018,Gurgaon,Technology,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Anthill Ventures,1300000.0,Pre-series A,2021
1499,boAt,2016,Mumbai,Beauty and Fashion,boAt is a lifestyle brand that deals in fashionable consumer electronics., InnoVen Capita,100000000.0,PE,2021
1500,Pocket Aces,2013,Mumbai,Media and Entertainment,Pocket Aces is a digital entertainment company focused on mobile video., DSP Group,2000000.0,Venture - Series Unknown,2021
1501,Kyt,2020,Bangalore,Education,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",Alpha Wave incubation,5000000.0,Series A,2021
1502,iMumz,2019,Bangalore,Technology,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.", AngelList,300000.0,Venture - Series Unknown,2021
1503,BharatPe,2018,New Delhi,Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses., Insight Partners,8200000.0,Debt,2021
1504,CropIn,2010,Bangalore,Agriculture,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning., Pratithi Investment Trust,20000000.0,Series C,2021
1505,Vanity Wagon,2018,Haryana,Beauty and Fashion,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.", Agility Venture Partners,200000.0,Seed,2021
1506,OYO,2012,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,7000000.0,Series F1,2021
1507,Agri10x,2018,Pune,Agriculture,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,Omnivore,3000000.0,Seed,2021
1508,BlackSoil,2016,Mumbai,Technology,Blacksoil Advisory is an independent boutique advisory firm.,Awign Enterprises,4000000.0,Venture - Series Unknown,2021
1509,HobSpace,2019,Mumbai,Education,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years., Upsparks,100000.0,Pre series A1,2021
1510,DcodeAI,2020,New Delhi,Education,EMPOWER LEARNERS TO BE FUTURE READY USING AI,S Chand,500000.0,Venture - Series Unknown,2021
1511,Biocon Biologics,1978,Bangalore,Agriculture,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.", Tata Capital,70000000.0,Venture - Series Unknown,2021
1512,KiranaKart,2020,Mumbai,Commerce,A better model for instant grocery delivery in India.,Global Founders Capital,720000.0,Pre-seed,2021
1513,Meddo,2018,Gurgaon,Technology,Meddo is an end-to-end medical services provider, Venture Gurukool,3000000.0,Pre-series A,2021
1514,SP Robotic Works,2012,Chennai,Education,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,Mount Judi India Growth Fund,3000000.0,Series A,2021
1515,3SC,2018,Gurugram,Transport,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,GEF Capital’s South Asia Fund,15000000.0,Series B,2021
1516,Chai Waale,2018,Food & Beverages,Others,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.", Manish Mardia,600000.0,Venture - Series Unknown,2021
1517,Minimalist,2020,Jaipur,Beauty and Fashion,Affordable skincare for all,Sequoia Capital.,10000000.0,Series A,2021
1518,Biconomy,2019,New Delhi,Finance,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects, DACM,9000000.0,Venture - Series Unknown,2021
1519,Fixcraft,2018,Gurugram,Transport,India's Most Trusted Automotive Repair Brand,CDC Group,1000000.0,Pre-series A,2021
